"field,value,group,description"
"period,Sep 2025,time,Start of Year 1 practice timeline"
"period,Oct 2025,time,Autumn term development"
"period,Nov 2025,time,Autumn term development"
"period,Dec 2025,time,End of autumn term"
"period,Jan 2026,time,Start of spring term"
"period,Feb 2026,time,Spring term development"
"period,Mar 2026,time,Spring term development"
"period,Apr 2026,time,Spring term consolidation"
"period,May 2026,time,End of testing period"
"source_type,reading,input,Books papers essays theory texts"
"source_type,archive_visit,input,Library museum archive special collection visit"
"source_type,dataset_review,input,Inspection of dataset or metadata source"
"source_type,supervision,input,Supervisor meeting or feedback"
"source_type,peer_discussion,input,Conversation with peers or research group"
"source_type,workshop,input,Workshop lecture or seminar"
"source_type,conference,input,Conference talk panel or presentation"
"source_type,technical_tutorial,input,Tutorial documentation or code walkthrough"
"source_type,field_observation,input,Observed visual or material context in the field"
"source_type,prototype_review,input,Review of existing prototype or prior experiment"
"practice_action,mapping,action,Mapping ideas systems relations or categories"
"practice_action,sketching,action,Rapid visual ideation or composition"
"practice_action,coding,action,Writing or adapting code"
"practice_action,data_cleaning,action,Preparing dataset for analysis or visualisation"
"practice_action,annotation,action,Tagging coding or annotating materials"
"practice_action,clustering,action,Grouping patterns via unsupervised methods"
"practice_action,modelling,action,Developing machine learning model or pipeline"
"practice_action,visualisation,action,Creating charts diagrams or analytic graphics"
"practice_action,prototyping,action,Building an interactive or visual prototype"
"practice_action,writing,action,Writing notes analysis or thesis material"
"practice_action,reframing,action,Changing the question focus or interpretive frame"
"practice_action,testing,action,Testing interaction method or analytical output"
"practice_action,comparing,action,Comparing methods datasets or design options"
"practice_action,reflecting,action,Documenting reflexive insight or critical review"
"outcome_type,insight,output,Clear conceptual or methodological insight"
"outcome_type,question,output,New research question or unresolved issue"
"outcome_type,refinement,output,Improved method design or framing"
"outcome_type,redirection,output,Shift in research direction or approach"
"outcome_type,dead_end,output,Unproductive path or failed experiment"
"outcome_type,prototype,output,Tangible prototype or visual artefact produced"
"outcome_type,framework,output,Emerging conceptual or analytical framework"
"outcome_type,evidence,output,Useful evidence for argument or interpretation"
"outcome_type,confidence,output,Increased confidence in method or direction"
"outcome_type,tension,output,Recognised contradiction ambiguity or friction"
"theme,graphic_design,theme,Graphic design methods forms and communication"
"theme,archival_research,theme,Archive methods interpretation and material traces"
"theme,machine_learning,theme,Machine learning methods models and outputs"
"theme,data_science,theme,Data handling exploratory analysis and workflow"
"theme,visual_analytics,theme,Interactive visual exploration and sensemaking"
"theme,interface_design,theme,Interaction and interface concerns"
"theme,methodology,theme,Research design and method construction"
"theme,classification,theme,Taxonomies coding and categorisation"
"theme,narrative,theme,Storytelling explanation and visual argument"
"theme,materiality,theme,Material form archive object and artefact concerns"
"theme,ethics,theme,Ethical concerns around data representation and interpretation"
"theme,uncertainty,theme,Ambiguity doubt incompleteness and instability"
"medium,text,medium,Written notes papers annotations"
"medium,diagram,medium,Maps systems diagrams process visuals"
"medium,code,medium,Scripts notebooks or app components"
"medium,dataset,medium,Structured data tables csv or metadata"
"medium,image,medium,Scanned image screenshot photograph"
"medium,interface,medium,Interactive screen based prototype"
"medium,print,medium,Poster layout print composition"
"medium,slide,medium,Presentation deck or talk material"
"medium,notebook,medium,Research notebook journal or sketchbook"
"medium,mixed,medium,Combination of several media"
"affect,energised,affect,High momentum curiosity or motivation"
"affect,curious,affect,Open exploratory interest"
"affect,uncertain,affect,Doubt ambiguity or instability"
"affect,frustrated,affect,Blocked annoyed or constrained"
"affect,focused,affect,Clear directed concentration"
"affect,overwhelmed,affect,Too many possibilities or excessive complexity"
"affect,skeptical,affect,Critical distance from method or result"
"affect,excited,affect,Strong positive anticipation"
"affect,stuck,affect,Progress stalled or unclear"
"affect,reflective,affect,Thoughtful evaluative critical stance"
"influence_on_direction,strengthened,direction,Confirmed current direction"
"influence_on_direction,shifted,direction,Changed direction or emphasis"
"influence_on_direction,disrupted,direction,Interrupted assumptions or workflow"
"influence_on_direction,opened,direction,Created a new possible direction"
"influence_on_direction,narrowed,direction,Reduced scope or increased precision"
"influence_on_direction,complicated,direction,Made the project more complex"
"research_question_stage,framing,stage,Early shaping of research question"
"research_question_stage,testing,stage,Active experimentation and trial"
"research_question_stage,refining,stage,Narrowing and clarifying direction"
"research_question_stage,synthesising,stage,Drawing connections and consolidating"
"contribution_area,method,contribution,Contribution through method"
"contribution_area,theory,contribution,Contribution through conceptual framing"
"contribution_area,artefact,contribution,Contribution through produced visual artefact"
"contribution_area,analysis,contribution,Contribution through analytical interpretation"
"contribution_area,pedagogy,contribution,Contribution through teaching or communication"
"contribution_area,visualisation,contribution,Contribution through visual form or system"